sample_id,name,ncbi_accession,color_by,species,report_group_ids,report_group_ids_old,enabled,ploidy,latitude,longitude
SAMEA882278,K. pneumoniae,ERR024824,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,31.508625,-107.753906
SAMEA882280,K. pneumoniae,ERR024826,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,32.403463,-109.555664
SAMEA882273,K. pneumoniae,ERR024827,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,32.403463,-99.887695
SAMN11100996,M. abscessus,SRR12574846,species,Mycobacteroides abscessus,all,all;m_abscessus,TRUE,1,33.948221,-84.023438
SAMN11100995,M. abscessus,SRR12574847,species,Mycobacteroides abscessus,all,all;m_abscessus,TRUE,1,43.965408,-73.212891
SAMN11100994,M. abscessus,SRR12574848,species,Mycobacteroides abscessus,all,all;m_abscessus,TRUE,1,43.457172,-74.047852
SAMN11100993,M. abscessus,SRR12574849,species,Mycobacteroides abscessus,all,all;m_abscessus,TRUE,1,43.93377,-74.575195
SAMEA3880302,N. meningitidis,ERR1556258,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,43.902114,-72.641602
SAMEA3880305,N. meningitidis,ERR1556259,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,43.32944,-68.115234
SAMEA3880307,N. meningitidis,ERR1556260,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,41.262393,-76.552734
SAMEA3880319,N. meningitidis,ERR1556266,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,40.347661,-74.794922
SAMEA3880327,N. meningitidis,ERR1556270,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,40.113929,-75.014648
SAMEA3880334,N. meningitidis,ERR1556274,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.57408,-77.651367
SAMEA3880346,N. meningitidis,ERR1556281,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.589886,-81.859131
SAMEA3880351,N. meningitidis,ERR1556284,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.691408,-82.056885
SAMEA3880355,N. meningitidis,ERR1556286,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.691408,-81.936035
SAMEA3880356,N. meningitidis,ERR1556287,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.640666,-82.166748
SAMEA3880360,N. meningitidis,ERR1556289,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.699861,-81.925049
SAMEA3880362,N. meningitidis,ERR1556290,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.632205,-81.5625
SAMEA3880369,N. meningitidis,ERR1556294,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,39.572951,-82.364502
SAMEA3880384,N. meningitidis,ERR1556303,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,35.161477,-103.17861
SAMEA3880387,N. meningitidis,ERR1556305,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,34.2442,-94.921875
SAMEA3880389,N. meningitidis,ERR1556306,species,Neisseria meningitidis,all,all;n_meningitidis,TRUE,1,33.147363,-85.166016
SRR12888961,X. perforans,SRR12888961,species,Xanthomonas perforans,all,all;x_perforans,TRUE,1,33.807146,-82.705078
SRR12888960,X. perforans,SRR12888960,species,Xanthomonas perforans,all,all;x_perforans,TRUE,1,34.461881,-85.957031
SRR12888760,X. perforans,SRR12888760,species,Xanthomonas perforans,all,all;x_perforans,TRUE,1,31.438662,-102.65625
SRR27897033,A. tumefaciens,SRR27897033,species,Agrobacterium tumefaciens,all,all,TRUE,1,34.967599,-109.599609
SRR11174029,R. rhizogenes,SRR11174029,species,Rhizobium rhizogenes,all,all,TRUE,1,31.363644,-99.667969
SRR11174116,R. rhizogenes,SRR11174116,species,Rhizobium rhizogenes,all,all,TRUE,1,33.587777,-90.966797
SRR11174105,A. vitis,SRR11174105,species,Agrobacterium vitis,all,all,TRUE,1,42.561712,-94.746094
SRR11174094,A. vitis,SRR11174094,species,Agrobacterium vitis,all,all,TRUE,1,43.013216,-94.921875
SRR11174201,A.fabrum,SRR11174201,species,Agrobacterium fabrum,all,all,TRUE,1,43.141612,-95.976563
SRR11174004,A. rubi,SRR11174004,species,Agrobacterium rubi,all,all,TRUE,1,41.714477,-92.636719
SAMEA882272,K. pneumoniae,ERR024828,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,43.716064,-95.888672
SAMEA882001,K. pneumoniae,ERR024818,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,50.184402,-85.078125
SAMEA882289,K. pneumoniae,ERR025525,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,47.702861,-103.974609
SAMEA882027,K. pneumoniae,ERR025517,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,44.159089,-120.146484
SAMEA882286,K. pneumoniae,ERR025524,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,44.347946,-122.167969
SAMEA882291,K. pneumoniae,ERR025516,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,43.269739,-120.058594
SAMEA882288,K. pneumoniae,ERR025515,species,Klebsiella pneumoniae,all,all;k_pneumoniae,TRUE,1,44.72384,-120.849609
